,Symbol
1236,GNAI1
1237,MYADM
1238,LPGAT1
1239,ICMT
1240,RFC2
1241,NAALAD2
1242,BARX1
1243,ATF5
1244,ASTN1
1245,GCNT1
1246,ATP11B
1247,ZSCAN22
1248,APBB2
1249,RAE1
1250,DDX49
1251,INPP1
1252,RPA1
1253,SRP54
1254,GAL3ST1
1255,NTMT1
1256,RIMS3
1257,HMGCS1
1258,MANEA
1259,ATP6V1C1
1260,MYO18B
1261,DDC
1262,ZNF697
1263,MC4R
1264,ATM
1265,HCN1
1266,NSMCE2
1267,COMMD1
1268,MYO10
1269,HOMER1
1270,CASP10
1271,NPW
1272,PDPK1
1273,ASCC2
1274,EPHA3
1275,FBXO16
1276,FGFR3
1277,GRIK3
1278,SLTM
1279,GRN
1280,ASNS
1281,TP53BP2
1282,RNF170
1283,IGF1R
1284,SLC35A1
1285,F2
1286,CHEK1
1287,RHEB
1288,GSK3A
1289,BRCA1
1290,STAT1
1291,PPM1L
1292,ST7L
1293,CD44
1294,ORAI2
1295,HAVCR1
1296,SASS6
1297,CRELD2
1298,CLTC
1299,IL24
1300,ZBTB22
1301,TUBB
1302,FGF22
1303,DMXL1
1304,STARD7
1305,PPA2
1306,RBM18
1307,IMPA1
1308,SLC30A10
1309,MAPK13
1310,ALDOA
1311,PIKFYVE
1312,PIH1D1
1313,PRKCG
1314,ICAM1
1315,CCDC85B
1316,USP47
1317,MAST4
1318,IRX5
1319,DEFB134
1320,MRPL22
1321,CSK
1322,MLXIP
1323,APCS
1324,CALCB
1325,HSP90AB1
1326,ATR
1327,DYRK1A
1328,SUGP1
1329,RALB
1330,CTTNBP2
1331,SLC5A9
1332,GCFC2
1333,SPRED2
1334,EFNA5
1335,OLIG1
1336,GLS
1337,PSPH
1338,TIAM1
1339,PER1
1340,CEBPE
1341,CDK9
1342,MZT2A
1343,TPH2
1344,PDE5A
1345,ACAP1
1346,MROH1
1347,TGFB3
1348,GPAM
1349,TEK
1350,RBM15B
1351,ENDOV
1352,SRP68
1353,TFPI2
1354,EIF2A
1355,PNKP
1356,PLEKHG1
1357,GSK3B
1358,CTSB
1359,PAX8
1360,SPATA12
1361,ATN1
1362,H2BC21
1363,LRRC71
1364,APPBP2
1365,JAK2
1366,NXPH2
1367,NIPA1
1368,CSDC2
1369,KCNG2
1370,TMEM229B
1371,RHBDD3
1372,FLACC1
1373,SLC32A1
1374,CPOX
1375,MAPK8
1376,BHLHE23
1377,VAPB
1378,RHOB
1379,USP1
1380,RARS2
1381,CHN1
1382,EDN1
1383,PDHX
1384,FKBP1B
1385,GTF2E2
1386,NBEA
1387,PXN
1388,TMEM151A
1389,TIE1
1390,ANKRD30A
1391,TP53BP1
1392,KATNIP
1393,LSR
1394,TFF1
1395,GTF2A2
1396,SLC6A18
1397,MTHFD1L
1398,TUBB1
1399,YY1AP1
1400,SPDEF
1401,TBX18
1402,BRSK2
1403,SOCS1
1404,CAST
1405,SLC25A26
1406,PLOD3
1407,FAM174A
1408,MCL1
1409,ADAM15
1410,SCAND1
1411,CPLX1
1412,FBXO7
1413,TMEM50B
1414,ZKSCAN2
1415,TGFBR2
1416,KCNT1
1417,MYT1L
1418,TPPP2
1419,SENP1
1420,ITGAE
1421,MRGBP
1422,CASP1
1423,PPM1D
1424,SLC10A7
1425,PCM1
1426,CFLAR
1427,NOL7
1428,PPARD
1429,ITPK1
1430,CLUL1
1431,RGS16
1432,PAK6
1433,HDLBP
1434,SEZ6L
1435,AKT2
1436,BHLHE40
1437,ATP10B
1438,RDH8
1439,CSAD
1440,RILPL1
1441,GATA3
1442,KRTAP27-1
1443,EBNA1BP2
1444,ZCWPW1
1445,CNOT10
1446,OR8B12
1447,ZNF280D
